mcq_id,question_text,option_a,option_b,option_c,option_d,correct_answer,difficulty_level,language
1,Which keyword is used to define a function in Python?,def,func,define,lambda,A,Easy,Python
2,The built-in print() function writes output to which stream by default?,Standard output (stdout),Standard error (stderr),GPU console,A file,A,Easy,Python
3,"What is the result of len(""abc"")?",1,2,3,4,C,Easy,Python
4,Which built-in data type is unordered and stores unique elements?,list,tuple,set,dict,C,Easy,Python
5,How do you start a single-line comment in Python?,#,//,<!--,/*,A,Easy,Python
6,Which list method adds an item to the end?,push,add,append,insert,C,Easy,Python
7,Which statement about tuples is true?,Tuples are immutable,Tuples are always empty,Tuples are dictionaries,Tuples are sets,A,Easy,Python
8,Which operator is used for exponentiation?,^,**,exp,^^,B,Easy,Python
9,Which keyword is used to import a module?,import,include,use,module,A,Easy,Python
10,What does range(3) produce when iterated?,"0, 1, 2","1, 2, 3","2, 3, 4","3, 2, 1",A,Easy,Python
11,Using a variable before it is assigned will raise which error?,TypeError,ValueError,NameError,KeyError,C,Easy,Python
12,Which built-in function returns the type of an object?,objtype(),type(),typeof(),class(),B,Easy,Python
13,Which string method converts letters to uppercase?,capitalize(),upper(),toUpper(),uppercase(),B,Easy,Python
14,How do you convert a numeric string to an int?,"int(""5"")","toInt(""5"")","parseInt(""5"")","Number(""5"")",A,Easy,Python
15,Which library is commonly used to generate random numbers?,math,statistics,random,numbers,C,Easy,Python
16,Which operator performs floor division?,//,/,%,**,A,Easy,Python
17,Which expression evaluates to True?,bool(0),"bool("""")",bool([]),bool(1),D,Easy,Python
18,How do you create a dictionary?,{'a': 1},"['a', 1]","('a', 1)","{'a', 1}",A,Easy,Python
19,Python uses which syntax to define code blocks?,Curly braces {},Semicolons ;,Indentation,Parentheses (),C,Easy,Python
20,What is None in Python?,A string,A null-like singleton,An integer,A boolean,B,Easy,Python
21,Common file extension for Python source files is?,.py,.python,.p,.pt,A,Easy,Python
22,Which function reads user input from the console?,read(),scan(),input(),stdin(),C,Easy,Python
23,Which built-in returns the number of items in a list?,len(list),size(list),count(list),length(list),A,Easy,Python
24,Which loop iterates over all items in a list?,while i < len(list):,for x in list:,repeat list:,foreach(list),B,Easy,Python
25,Which are boolean operators in Python?,"&&, ||, !","and, or",not only,"and, or, not",D,Easy,Python
26,Which expression raises ZeroDivisionError?,1/0,0/1,1//1,1%1,A,Easy,Python
27,Which module provides common math functions like sqrt?,cmath,math,numbers,random,B,Easy,Python
28,Which data structure stores key-value pairs?,list,set,dict,tuple,C,Easy,Python
29,What does s[0:3] return for s='hello'?,'hel','ello','he','hell',A,Easy,Python
30,What does '==' check compared to 'is'?,Value equality,Identity only,Reference count,Type equality,A,Easy,Python
31,Which symbol is used to declare a decorator?,@,#,$,&,A,Medium,Python
32,Which keyword defines a generator?,return,yield,generate,yield from,B,Medium,Python
33,Which module provides iterator building blocks?,functools,collections,itertools,operator,C,Medium,Python
34,What does collections.Counter do?,Counts hashable items,Sorts a list,Creates default values,Hashes strings,A,Medium,Python
35,Which class provides default values for missing dict keys?,Counter,defaultdict,dict,OrderedDict,B,Medium,Python
36,Context managers implement which methods?,__enter__ and __exit__,open and close,start and stop,begin and end,A,Medium,Python
37,What does a lambda expression create?,An anonymous function,A generator,A class,A module,A,Medium,Python
38,Generator expression vs list comprehension: which is lazy?,List comprehension,Both eager,Generator expression,Neither,C,Medium,Python
39,Which statement about copy vs deepcopy is true?,copy copies nested objects deeply,deepcopy copies nested objects,Both are shallow,Neither exists,B,Medium,Python
40,"In CPython, what does the GIL restrict?",File I/O,Multiple threads executing Python bytecode at once,Network sockets,Multiprocessing,B,Medium,Python
41,Which library is commonly used for HTTP requests?,urllib3 only,requests,smtplib,http.server,B,Medium,Python
42,What is a dataclass used for?,Reducing boilerplate for data containers,Networking,Testing,GUI,A,Medium,Python
43,Type hints are defined in which module?,hinting,types,typing,typehints,C,Medium,Python
44,How to open a file safely ensuring it closes?,open(); close() manually,with open(...) as f:,contextlib.suppress,file.open(),B,Medium,Python
45,Which is the highest logging level?,ERROR,WARNING,INFO,CRITICAL,D,Medium,Python
46,Which module provides an object-oriented filesystem path API?,os.path,path,pathlib,glob,C,Medium,Python
47,How do you declare an async function?,def async():,async def func():,await def func():,def await():,B,Medium,Python
48,Which function runs a coroutine and manages the event loop?,asyncio.create_task,asyncio.run,await run(),loop.new_task,B,Medium,Python
49,What does enumerate(iterable) return?,Only values,Only indices,Pairs of index and value,A set,C,Medium,Python
50,What does @property provide?,Static methods,Class methods,Managed attributes with getters,Package import,C,Medium,Python
51,__repr__ is intended to be:,User-friendly string,Unambiguous developer representation,Logging only,Binary dump,B,Medium,Python
52,Which tool installs Python packages?,pip,apt,conda only,yum,A,Medium,Python
53,Which module creates virtual environments?,virtualenv only,venv,pipenv,env,B,Medium,Python
